Timestamp,Active_App,Key_Rate,Mouse_Rate,Predicted_State,Confidence
2025-11-07 19:16:34,N/A,0,2,Distracted,0.333
2025-11-07 19:16:39,N/A,0,5,Distracted,0.298
2025-11-07 19:16:44,N/A,0,4,Distracted,0.397
2025-11-07 19:16:49,N/A,4,1,Distracted,0.153
2025-11-07 19:16:54,N/A,2,6,Flow,0.608
2025-11-07 19:16:59,N/A,0,1,Distracted,0.386
2025-11-07 19:17:04,N/A,0,11,Flow,0.64
2025-11-07 19:17:14,N/A,0,5,Distracted,0.298
2025-11-07 19:17:19,N/A,0,4,Distracted,0.397
2025-11-07 19:17:24,N/A,0,8,Flow,1.0
2025-11-07 19:17:55,N/A,0,4,Distracted,0.397
2025-11-07 19:18:00,N/A,0,7,Flow,1.0
2025-11-07 19:18:05,N/A,0,12,Flow,0.64
2025-11-07 19:18:10,N/A,0,1,Distracted,0.386
2025-11-07 19:18:15,N/A,0,18,Flow,0.58
2025-11-07 19:18:20,N/A,0,11,Flow,0.64
2025-11-07 19:18:25,N/A,0,2,Distracted,0.333
2025-11-07 19:18:30,N/A,5,1,Flow,0.697
2025-11-07 19:18:35,N/A,3,2,Distracted,0.197
2025-11-07 19:18:40,N/A,0,9,Distracted,0.46
2025-11-07 19:18:45,N/A,0,34,Distracted,0.33
2025-11-07 19:18:50,N/A,0,34,Distracted,0.33
2025-11-07 19:18:55,N/A,0,25,Flow,0.785
2025-11-07 19:19:00,N/A,0,20,Distracted,0.29
2025-11-07 19:19:05,N/A,0,14,Distracted,0.34
2025-11-07 19:19:10,N/A,2,1,Flow,0.516
2025-11-07 19:19:15,N/A,3,2,Distracted,0.197
2025-11-07 19:19:20,N/A,0,2,Distracted,0.333
2025-11-07 19:19:25,N/A,0,4,Distracted,0.397
2025-11-07 19:19:45,N/A,0,34,Distracted,0.33
2025-11-07 19:19:50,N/A,4,13,Distracted,0.344
2025-11-07 19:19:55,N/A,28,0,Flow,0.917
2025-11-07 19:20:00,N/A,14,0,Flow,0.941
2025-11-07 19:20:05,N/A,9,0,Flow,0.565
2025-11-07 19:20:15,N/A,11,0,Distracted,0.482
2025-11-07 19:20:20,N/A,2,0,Flow,0.761
2025-11-07 19:20:25,N/A,17,0,Distracted,0.12
2025-11-07 19:20:30,N/A,13,0,Flow,0.538
2025-11-07 19:20:36,N/A,24,0,Flow,0.917
2025-11-07 19:20:41,N/A,22,0,Distracted,0.315
2025-11-07 19:20:46,N/A,13,1,Flow,0.604
2025-11-07 19:20:51,N/A,3,1,Distracted,0.112
2025-11-07 19:21:01,N/A,0,14,Distracted,0.34
2025-11-07 19:21:06,N/A,0,24,Distracted,0.429
2025-11-07 19:21:11,N/A,0,54,Distracted,0.33
2025-11-07 19:21:26,N/A,0,5,Distracted,0.298
2025-11-07 19:21:46,N/A,21,5,Flow,0.528
2025-11-07 19:23:52,unknown.exe,20,1,Distracted,0.344
2025-11-07 19:24:57,unknown.exe,22,0,Distracted,0.315
2025-11-07 19:25:12,unknown.exe,12,0,Flow,0.546
2025-11-07 19:25:17,unknown.exe,12,0,Flow,0.546
2025-11-07 19:25:22,unknown.exe,1,3,Flow,0.462
2025-11-07 19:25:47,unknown.exe,1,1,Flow,0.484
2025-11-07 19:25:57,unknown.exe,9,1,Flow,0.563
2025-11-07 19:26:02,unknown.exe,14,0,Flow,0.941
2025-11-07 19:26:22,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:26:27,unknown.exe,3,0,Flow,0.655
2025-11-07 19:26:32,unknown.exe,3,0,Flow,0.655
2025-11-07 19:26:57,unknown.exe,5,0,Flow,0.687
2025-11-07 19:27:12,unknown.exe,9,0,Flow,0.565
2025-11-07 19:27:17,unknown.exe,19,0,Distracted,0.002
2025-11-07 19:27:22,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:27:57,unknown.exe,6,4,Flow,0.577
2025-11-07 19:28:12,unknown.exe,5,0,Flow,0.687
2025-11-07 19:28:17,unknown.exe,23,0,Flow,0.725
2025-11-07 19:28:22,unknown.exe,6,0,Flow,0.761
2025-11-07 19:28:47,unknown.exe,2,3,Flow,0.488
2025-11-07 19:28:57,unknown.exe,2,2,Distracted,0.355
2025-11-07 19:29:02,unknown.exe,2,2,Distracted,0.355
2025-11-07 19:29:07,unknown.exe,2,2,Distracted,0.355
2025-11-07 19:29:22,unknown.exe,18,2,Distracted,0.316
2025-11-07 19:44:27,unknown.exe,52,1,Flow,0.812
2025-11-07 19:44:32,unknown.exe,37,0,Flow,0.912
2025-11-07 19:45:17,unknown.exe,7,1,Flow,0.576
2025-11-07 19:45:22,unknown.exe,8,0,Flow,0.56
2025-11-07 19:45:27,unknown.exe,6,0,Flow,0.761
2025-11-07 19:45:37,unknown.exe,23,0,Flow,0.725
2025-11-07 19:45:42,unknown.exe,23,0,Flow,0.725
2025-11-07 19:45:48,unknown.exe,21,0,Distracted,0.049
2025-11-07 19:45:53,unknown.exe,8,0,Flow,0.56
2025-11-07 19:45:58,unknown.exe,13,0,Flow,0.538
2025-11-07 19:46:18,unknown.exe,3,3,Distracted,0.187
2025-11-07 19:46:23,unknown.exe,3,0,Flow,0.655
2025-11-07 19:47:23,unknown.exe,5,0,Flow,0.687
2025-11-07 19:47:28,unknown.exe,5,1,Flow,0.697
2025-11-07 19:47:33,unknown.exe,15,1,Flow,0.637
2025-11-07 19:47:38,unknown.exe,22,0,Distracted,0.315
2025-11-07 19:47:43,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:47:48,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:47:53,unknown.exe,32,0,Flow,0.917
2025-11-07 19:47:58,unknown.exe,8,0,Flow,0.56
2025-11-07 19:48:28,unknown.exe,5,1,Flow,0.697
2025-11-07 19:48:33,unknown.exe,4,0,Flow,0.598
2025-11-07 19:48:38,unknown.exe,2,0,Flow,0.761
2025-11-07 19:48:43,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:50:08,unknown.exe,4,1,Distracted,0.153
2025-11-07 19:50:13,unknown.exe,2,4,Flow,0.423
2025-11-07 19:50:28,unknown.exe,2,0,Flow,0.761
2025-11-07 19:51:13,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:51:23,unknown.exe,2,0,Flow,0.761
2025-11-07 19:51:28,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:51:33,unknown.exe,12,0,Flow,0.546
2025-11-07 19:51:38,unknown.exe,15,0,Flow,0.914
2025-11-07 19:51:44,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:51:54,unknown.exe,3,2,Distracted,0.197
2025-11-07 19:51:59,unknown.exe,2,3,Flow,0.487
2025-11-07 19:52:39,unknown.exe,3,0,Flow,0.655
2025-11-07 19:52:44,unknown.exe,4,0,Flow,0.598
2025-11-07 19:52:59,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:53:09,unknown.exe,2,0,Flow,0.761
2025-11-07 20:48:33,unknown.exe,3,8,Flow,0.559
2025-11-07 20:48:38,unknown.exe,7,0,Flow,0.889
2025-11-07 20:48:43,unknown.exe,3,2,Distracted,0.197
2025-11-07 20:48:53,unknown.exe,2,5,Flow,0.54
2025-11-07 20:49:03,unknown.exe,3,1,Distracted,0.112
2025-11-07 20:49:08,unknown.exe,3,1,Distracted,0.112
2025-11-07 20:49:18,unknown.exe,4,1,Distracted,0.153
2025-11-07 20:49:38,unknown.exe,2,5,Flow,0.54
2025-11-07 20:49:43,unknown.exe,4,1,Distracted,0.153
2025-11-07 20:49:48,unknown.exe,4,0,Flow,0.598
2025-11-07 20:49:58,unknown.exe,2,1,Flow,0.515
2025-11-07 20:50:03,unknown.exe,5,3,Flow,0.525
2025-11-07 20:50:08,unknown.exe,13,1,Flow,0.604
2025-11-07 20:50:13,unknown.exe,1,1,Flow,0.484
2025-11-07 20:50:18,unknown.exe,12,1,Flow,0.58
